record_id,timestamp,process_id,tool_nominal_capacity,wip_queue_size,tool_utilization_pct,downstream_queue_size,wafer_quantity,lot_priority_num,remaining_stages,nominal_cycle_time_hr,chamber_health,has_active_disruption,actual_delay_hours
HIST-00001,2026-05-28 23:00:00,PRC-04,35,20,57.6,52,100,4,7,5.5,91,0,6.1
HIST-00002,2026-04-11 16:00:00,PRC-06,35,50,144.2,78,125,2,5,7.0,84,0,41.43
HIST-00003,2026-01-03 03:00:00,PRC-08,35,26,73.0,60,25,1,3,4.0,96,0,13.79
HIST-00004,2026-04-03 17:00:00,PRC-07,35,56,159.7,61,100,2,4,5.0,90,1,60.43
HIST-00005,2026-05-23 11:00:00,PRC-05,30,29,95.2,72,125,2,6,4.5,72,0,15.41
HIST-00006,2026-05-02 16:00:00,PRC-03,35,43,123.3,66,125,1,8,8.0,67,0,39.83
HIST-00007,2026-03-28 16:00:00,PRC-08,35,43,123.8,80,50,2,3,4.0,85,0,29.33
HIST-00008,2026-09-08 13:00:00,PRC-09,50,54,108.7,87,75,2,2,3.0,66,0,32.15
HIST-00009,2026-07-04 01:00:00,PRC-10,40,59,148.6,95,25,3,1,6.5,81,0,45.72
HIST-00010,2026-01-09 18:00:00,PRC-10,45,30,67.2,95,150,3,1,6.5,89,0,13.07
HIST-00011,2026-07-08 23:00:00,PRC-02,35,17,47.5,55,100,2,9,6.0,78,0,14.82
HIST-00012,2026-02-14 14:00:00,PRC-01,60,38,63.0,41,125,2,10,3.5,95,0,11.61
HIST-00013,2026-07-17 09:00:00,PRC-09,40,46,116.0,48,125,2,2,3.0,80,0,29.68
HIST-00014,2026-05-20 12:00:00,PRC-04,60,82,136.6,55,100,2,7,5.5,82,0,41.94
HIST-00015,2026-02-21 17:00:00,PRC-07,70,63,89.9,33,75,1,4,5.0,70,0,26.77
HIST-00016,2026-05-16 07:00:00,PRC-05,50,68,135.5,32,25,3,6,4.5,80,0,37.19
HIST-00017,2026-08-28 15:00:00,PRC-04,30,17,58.0,57,150,2,7,5.5,73,1,30.97
HIST-00018,2026-05-27 07:00:00,PRC-08,60,43,70.9,51,75,2,3,4.0,68,0,21.12
HIST-00019,2026-02-17 23:00:00,PRC-09,60,83,139.0,19,50,2,2,3.0,76,0,44.48
