lot_id,product_family,customer_tier,current_process_id,current_process_name,next_process_id,assigned_tool_id,wafer_quantity,lot_value_usd,priority,status,entry_time,due_date,steps_completed,total_steps
LOT-0001,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,150,180000,HIGH,IN_QUEUE,2026-09-14 17:00:00,2026-09-20 07:00:00,5,10
LOT-0002,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,25,30000,CRITICAL,IN_QUEUE,2026-09-12 23:00:00,2026-09-17 01:00:00,5,10
LOT-0003,NEX-RF-TRANS,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,75,71250,MEDIUM,PROCESSING,2026-09-13 17:00:00,2026-09-29 13:00:00,2,10
LOT-0004,NEX-AI-ACCEL,Tier-1 Automotive,PRC-02,Oxidation & Thermal,PRC-03,THM-02,25,23750,CRITICAL,PROCESSING,2026-09-12 18:00:00,2026-09-18 19:00:00,1,10
LOT-0005,NEX-AI-ACCEL,Aerospace Defense,PRC-05,Ion Implantation,PRC-06,IMP-02,25,16250,MEDIUM,IN_QUEUE,2026-09-14 23:00:00,2026-09-23 02:00:00,4,10
LOT-0006,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,25,23750,LOW,IN_QUEUE,2026-09-14 08:00:00,2026-09-23 16:00:00,5,10
LOT-0007,NEX-MCU-AUTO,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,150,142500,HIGH,IN_QUEUE,2026-09-14 08:00:00,2026-09-27 04:00:00,3,10
LOT-0008,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,150,180000,MEDIUM,PROCESSING,2026-09-13 23:00:00,2026-09-27 18:00:00,3,10
LOT-0009,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,100,120000,HIGH,IN_QUEUE,2026-09-13 02:00:00,2026-09-27 06:00:00,6,10
LOT-0010,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-02,50,60000,HIGH,IN_QUEUE,2026-09-12 22:00:00,2026-09-29 01:00:00,7,10
LOT-0011,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-02,75,90000,HIGH,IN_QUEUE,2026-09-14 14:00:00,2026-09-25 23:00:00,7,10
LOT-0012,NEX-MEM-HBM,Tier-1 Automotive,PRC-02,Oxidation & Thermal,PRC-03,THM-01,150,142500,HIGH,PROCESSING,2026-09-12 09:00:00,2026-09-23 20:00:00,1,10
LOT-0013,NEX-RF-TRANS,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,25,23750,MEDIUM,PROCESSING,2026-09-14 14:00:00,2026-09-28 01:00:00,2,10
LOT-0014,NEX-RF-TRANS,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,100,65000,CRITICAL,HOLD_METROLOGY,2026-09-11 19:00:00,2026-09-18 00:00:00,2,10
LOT-0015,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-05,Ion Implantation,PRC-06,IMP-01,50,60000,HIGH,HOLD_METROLOGY,2026-09-13 11:00:00,2026-09-26 00:00:00,4,10
LOT-0016,NEX-PMIC-CORE,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,75,48750,LOW,IN_QUEUE,2026-09-14 18:00:00,2026-09-20 09:00:00,3,10
LOT-0017,NEX-MEM-HBM,Aerospace Defense,PRC-02,Oxidation & Thermal,PRC-03,THM-02,25,16250,LOW,IN_QUEUE,2026-09-12 06:00:00,2026-09-29 12:00:00,1,10
LOT-0018,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,125,150000,HIGH,PROCESSING,2026-09-13 01:00:00,2026-09-26 07:00:00,2,10
LOT-0019,NEX-RF-TRANS,Industrial IoT,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-03,100,65000,LOW,IN_QUEUE,2026-09-15 02:00:00,2026-09-18 15:00:00,9,10
LOT-0020,NEX-AI-ACCEL,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,125,118750,HIGH,IN_QUEUE,2026-09-15 00:00:00,2026-09-29 04:00:00,5,10
LOT-0021,NEX-PMIC-CORE,Industrial IoT,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,125,81250,HIGH,IN_QUEUE,2026-09-12 03:00:00,2026-09-21 01:00:00,7,10
LOT-0022,NEX-MEM-HBM,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,100,95000,HIGH,IN_QUEUE,2026-09-12 17:00:00,2026-09-27 21:00:00,3,10
LOT-0023,NEX-AI-ACCEL,Tier-1 Automotive,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,150,142500,MEDIUM,PROCESSING,2026-09-13 21:00:00,2026-09-17 20:00:00,7,10
LOT-0024,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,100,120000,CRITICAL,IN_QUEUE,2026-09-12 06:00:00,2026-09-18 22:00:00,2,10
LOT-0025,NEX-MCU-AUTO,Tier-1 Hyperscale AI,PRC-02,Oxidation & Thermal,PRC-03,THM-01,25,30000,LOW,IN_QUEUE,2026-09-13 01:00:00,2026-09-19 21:00:00,1,10
LOT-0026,NEX-PMIC-CORE,Industrial IoT,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-01,100,65000,CRITICAL,IN_QUEUE,2026-09-11 16:00:00,2026-09-18 22:00:00,8,10
LOT-0027,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,50,47500,HIGH,IN_QUEUE,2026-09-14 21:00:00,2026-09-27 07:00:00,5,10
LOT-0028,NEX-AI-ACCEL,Aerospace Defense,PRC-01,Wafer Prep & Clean,PRC-02,CLN-02,125,81250,LOW,EXPEDITED,2026-09-14 05:00:00,2026-09-19 09:00:00,0,10
LOT-0029,NEX-PMIC-CORE,Industrial IoT,PRC-01,Wafer Prep & Clean,PRC-02,CLN-01,150,97500,LOW,IN_QUEUE,2026-09-14 23:00:00,2026-09-19 02:00:00,0,10
LOT-0030,NEX-RF-TRANS,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,150,97500,MEDIUM,IN_QUEUE,2026-09-13 22:00:00,2026-09-22 16:00:00,5,10
LOT-0031,NEX-PMIC-CORE,Industrial IoT,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,150,97500,MEDIUM,IN_QUEUE,2026-09-12 04:00:00,2026-09-22 10:00:00,2,10
LOT-0032,NEX-MCU-AUTO,Mobile Flagship,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-01,125,81250,HIGH,PROCESSING,2026-09-13 05:00:00,2026-09-19 19:00:00,9,10
LOT-0033,NEX-PMIC-CORE,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,125,81250,MEDIUM,IN_QUEUE,2026-09-13 14:00:00,2026-09-30 04:00:00,2,10
LOT-0034,NEX-RF-TRANS,Tier-1 Automotive,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-01,50,47500,HIGH,IN_QUEUE,2026-09-11 23:00:00,2026-09-29 01:00:00,8,10
LOT-0035,NEX-AI-ACCEL,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-02,50,32500,MEDIUM,IN_QUEUE,2026-09-14 17:00:00,2026-09-25 23:00:00,2,10
LOT-0036,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,25,30000,CRITICAL,PROCESSING,2026-09-11 10:00:00,2026-09-18 13:00:00,5,10
LOT-0037,NEX-MCU-AUTO,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,25,30000,CRITICAL,PROCESSING,2026-09-12 21:00:00,2026-09-16 19:00:00,3,10
LOT-0038,NEX-AI-ACCEL,Tier-1 Automotive,PRC-02,Oxidation & Thermal,PRC-03,THM-02,75,71250,LOW,PROCESSING,2026-09-13 07:00:00,2026-09-22 14:00:00,1,10
LOT-0039,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,125,150000,MEDIUM,PROCESSING,2026-09-14 06:00:00,2026-09-19 13:00:00,6,10
